RANK,SCORE,FARM /CWS,FARMER / REPRESENTATIVE,PROCESS,VARIETY,REGION,WEIGHT (Kg)
1A,92.04,Santa Teresa,Roger Ureña Hidalgo,Washed,Geisha,Tarrazú,150.00
1B,92.04,Santa Teresa,Roger Ureña Hidalgo,Washed,Geisha,Tarrazú,150.00
2,90.65,El Cedro – Hacienda San Isidro Labrador,Johel Monge Naranjo,Washed,Geisha,Tarrazú,555.00
3,90.46,Quebrada Grande,Luis Diego Calderon Castillo,Washed,San Roque,Tarrazú,360.00
4,89.5,Hacienda Copey – Itadaki,"Daito Giken Costa Rica, S.A.",Washed,Geisha,Tarrazú,345.00
5,88.69,Río Blanco,Alejandra Cordero Solano,Washed,Catuai,Tarrazú,285.00
6,88.62,Don Cayito,Maria Lourdes Castillo Umaña,Washed,Typica,Tarrazú,345.00
7,88.31,Volcan Azul Hacienda Colima,Alejo Castro Kahle,Washed,Otros,Valle Occidental,345.00
8,87.04,San Martín,Lisbeth Venegas Gamboa,Washed,Geisha,Tarrazú,300.00
